City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,22.83,83,100,8.46,PN,1699827225
1,jilotepec de molina enriquez,19.9528,-99.5347,20.65,45,43,2.82,MX,1699827400
2,yichang,30.7144,111.2847,7.69,87,89,0.4,CN,1699827401
3,kruisfontein,-34.0033,24.7314,11.82,85,2,3.76,ZA,1699827401
4,invercargill,-46.4,168.35,11.68,95,100,2.68,NZ,1699827401
5,vangaindrano,-23.35,47.6,19.65,81,10,2.38,MG,1699827402
6,waitangi,-43.9535,-176.5597,12.5,84,56,8.34,NZ,1699827402
7,afaahiti,-17.75,-149.2833,28.93,84,30,4.46,PF,1699827402
8,khandyga,62.6667,135.6,-24.11,99,100,0.93,RU,1699827143
9,el granada,37.5027,-122.4694,25.26,58,0,3.6,US,1699827403
10,ushuaia,-54.8,-68.3,10.81,46,40,6.17,AR,1699827404
11,pechora,65.1472,57.2244,-5.08,96,98,0.89,RU,1699827404
12,smithers,54.7804,-127.1743,-0.82,93,100,2.06,CA,1699827242
13,montevideo,-34.8335,-56.1674,18.23,61,40,8.23,UY,1699827387
14,prince george,53.9166,-122.753,2.01,83,100,3.6,CA,1699827405
15,pacasmayo,-7.4006,-79.5714,21.49,75,45,6.8,PE,1699827405
16,tura,25.5198,90.2201,17.73,86,0,1.93,IN,1699827406
17,san andres,12.5847,-81.7006,29.01,84,40,3.6,CO,1699827406
18,kingston,17.997,-76.7936,31.53,71,20,8.23,JM,1699827264
19,wailua homesteads,22.0669,-159.378,28.24,78,75,8.23,US,1699827407
20,kittila,67.6647,24.8936,-13.55,78,100,0.51,FI,1699827407
21,lihue,21.9789,-159.3672,28.58,72,75,8.23,US,1699827407
22,east london,-33.0153,27.9116,15.36,69,1,4.41,ZA,1699827408
23,hangal,14.7667,75.1333,20.48,79,56,2.71,IN,1699827408
24,madona,56.8533,26.217,3.17,96,100,3.21,LV,1699827409
25,zhangjiakou,40.81,114.8794,-6.79,53,4,1.73,CN,1699827409
26,ilulissat,69.2167,-51.1,-9.99,57,75,2.06,GL,1699827409
27,isafjordur,66.0755,-23.124,1.98,82,100,1.75,IS,1699827409
28,port-aux-francais,-49.35,70.2167,5.49,89,100,8.02,TF,1699827225
29,haiku-pauwela,20.9219,-156.3051,28.01,59,20,11.32,US,1699827226
30,yellowknife,62.456,-114.3525,-6.99,98,100,9.26,CA,1699827132
31,utrik,11.2278,169.8474,28.07,81,100,7.82,MH,1699827410
32,margate,51.3813,1.3862,11.06,94,100,1.79,GB,1699827186
33,norfolk,42.1668,-71.2495,3.22,65,17,1.04,US,1699827302
34,lompoc,34.6391,-120.4579,28.77,24,0,3.6,US,1699827411
35,posadas,-27.3671,-55.8961,32.99,66,0,3.6,AR,1699827412
36,blackmans bay,-43.0167,147.3167,14.85,52,8,1.34,AU,1699827412
37,edinburgh of the seven seas,-37.0676,-12.3116,14.08,82,7,9.23,SH,1699827413
38,cruzeiro do sul,-29.5128,-51.9853,21.95,93,97,3.27,BR,1699827240
39,albany,42.6001,-73.9662,2.6,65,6,0.77,US,1699827312
40,bodaybo,57.8506,114.1933,-23.89,98,55,0.73,RU,1699827282
41,mount gambier,-37.8333,140.7667,12.42,70,71,1.93,AU,1699827295
42,helena valley west central,46.6629,-112.0604,12.71,39,0,2.06,US,1699827415
43,longyearbyen,78.2186,15.6401,-3.09,93,75,4.63,SJ,1699827415
44,fort st. john,56.2499,-120.8529,2.94,52,40,3.6,CA,1699827416
45,el porvenir,13.7617,-87.3458,27.63,68,59,1.38,HN,1699827416
46,klyuchi,52.2667,79.1667,5.09,87,99,3.94,RU,1699827283
47,ko pha ngan,9.7578,100.0291,22.38,77,100,8.42,TH,1699827417
48,luwuk,-0.9516,122.7875,25.5,85,72,1.7,ID,1699827417
49,kismayo,-0.3582,42.5454,26.69,83,66,3.01,SO,1699827417
50,nguigmi,14.2495,13.1092,26.87,21,3,5.2,NE,1699827418
51,atafu village,-8.5421,-172.5159,28.84,70,84,0.44,TK,1699827418
52,port mathurin,-19.6833,63.4167,24.88,82,0,2.62,MU,1699827418
53,west island,-12.1568,96.8225,25.99,89,75,4.12,CC,1699827227
54,enewetak,11.3474,162.3373,27.63,83,100,9.78,MH,1699827419
55,okha,53.5739,142.9478,-4.68,93,100,6.25,RU,1699827419
56,kourou,5.1552,-52.6478,26.68,85,70,3.82,GF,1699827419
57,assare,-6.8744,-39.875,27.81,26,0,1.53,BR,1699827420
58,nar'yan-mar,67.6713,53.087,-8.27,94,27,2.68,RU,1699827280
59,belyy yar,53.6039,91.3903,-9.06,86,100,0.0,RU,1699827420
60,kodiak,57.79,-152.4072,3.73,60,0,3.09,US,1699827421
61,vanino,49.0869,140.2543,-10.04,69,92,3.0,RU,1699827421
62,karungdong,5.8844,121.263,26.54,82,2,0.73,PH,1699827422
63,menaka,15.9182,2.4022,27.81,13,0,4.29,ML,1699827422
64,petropavlovsk-kamchatsky,53.0452,158.6483,-3.08,74,75,12.52,RU,1699827245
65,ifrane,33.3333,-5.25,13.14,42,99,1.46,MA,1699827423
66,dallas,32.7668,-96.7836,18.65,53,100,2.06,US,1699827419
67,porto novo,6.4965,2.6036,26.9,85,39,3.51,BJ,1699827424
68,flekkefjord,58.2971,6.6607,4.41,95,100,4.7,NO,1699827424
