City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tolanaro,-25.0319,46.9987,20.04,77,20,6.17,MG,1699753696
1,olonkinbyen,70.9221,-8.7187,-0.64,81,99,6.63,SJ,1699753697
2,qaqortoq,60.7167,-46.0333,-3.09,68,69,3.82,GL,1699753440
3,mercedes,-34.6515,-59.4307,18.35,82,0,0.66,AR,1699753697
4,flin flon,54.7682,-101.865,-0.12,85,8,6.0,CA,1699753698
5,bilibino,68.0546,166.4372,-27.29,98,16,2.38,RU,1699753698
6,puerto natales,-51.7236,-72.4875,1.42,77,5,1.81,CL,1699753698
7,stephenville,32.2207,-98.2023,14.53,76,0,2.06,US,1699753698
8,robinson,31.4677,-97.1147,16.32,79,100,3.6,US,1699753699
9,grytviken,-54.2811,-36.5092,2.69,93,73,0.65,GS,1699753426
10,invercargill,-46.4,168.35,19.45,55,45,5.81,NZ,1699753686
11,longyearbyen,78.2186,15.6401,-4.09,100,100,5.14,SJ,1699753700
12,ilulissat,69.2167,-51.1,-7.99,53,75,9.26,GL,1699753700
13,rijau,11.103,5.2507,23.37,26,100,2.52,NG,1699753701
14,laojunmiao,39.8333,97.7333,1.17,37,100,2.17,CN,1699753701
15,oroville east,39.5113,-121.4752,18.21,51,0,0.45,US,1699753701
16,west island,-12.1568,96.8225,27.99,74,75,5.66,CC,1699753702
17,albany,42.6001,-73.9662,2.36,66,3,1.34,US,1699753612
18,adamstown,-25.066,-130.1015,23.01,80,3,5.49,PN,1699753702
19,kiffa,16.6166,-11.4045,25.35,11,99,3.47,MR,1699753702
20,port-aux-francais,-49.35,70.2167,2.62,72,71,10.75,TF,1699753415
21,bredasdorp,-34.5322,20.0403,15.36,63,96,3.13,ZA,1699753703
22,yellowknife,62.456,-114.3525,0.31,100,100,2.68,CA,1699753703
23,dvur kralove nad labem,50.4317,15.814,4.23,90,100,3.86,CZ,1699753703
24,atafu village,-8.5421,-172.5159,29.28,71,97,3.16,TK,1699753662
25,punta arenas,-53.15,-70.9167,5.06,52,0,5.14,CL,1699753419
26,necochea,-38.5473,-58.7368,14.94,48,0,4.62,AR,1699753704
27,south hedland,-20.4089,118.5983,28.96,58,0,5.66,AU,1699753705
28,saipan,15.1355,145.701,31.39,74,75,9.77,MP,1699753634
29,fortaleza,-3.7227,-38.5247,28.37,77,75,3.6,BR,1699753705
30,talnakh,69.4865,88.3972,-8.19,95,100,4.63,RU,1699753706
31,ushuaia,-54.8,-68.3,3.81,56,0,4.92,AR,1699753624
32,waitangi,-43.9535,-176.5597,14.34,76,0,2.24,NZ,1699753706
33,forbes,-33.3833,148.0167,35.51,16,32,5.95,AU,1699753576
34,hithadhoo,-0.6,73.0833,27.14,82,86,4.91,MV,1699753707
35,iqaluit,63.7506,-68.5145,-13.15,78,40,4.12,CA,1699753707
36,burnie,-41.0667,145.9167,17.47,49,29,7.42,AU,1699753708
37,hadibu,12.65,54.0333,26.4,87,100,6.06,YE,1699753708
38,hawaiian paradise park,19.5933,-154.9731,25.73,85,75,2.57,US,1699753708
39,ouesso,1.6136,16.0517,21.0,99,100,0.41,CG,1699753709
40,port lincoln,-34.7333,135.8667,15.21,59,100,8.05,AU,1699753491
41,vadso,70.0744,29.7487,-4.91,80,25,5.14,NO,1699753709
42,stanley,54.868,-1.6985,4.6,96,40,0.51,GB,1699753709
43,iskateley,67.6803,53.1512,-8.88,95,30,3.13,RU,1699753710
44,tazovsky,67.4667,78.7,-2.32,97,100,4.77,RU,1699753710
45,jumla,29.2747,82.1838,8.71,54,0,1.45,NP,1699753710
46,vandenberg village,34.7083,-120.4677,18.38,65,0,2.57,US,1699753711
47,kidal,18.4411,1.4078,24.29,11,0,4.42,ML,1699753711
48,bethel,41.3712,-73.414,5.92,70,0,0.0,US,1699753711
49,rabo de peixe,37.8,-25.5833,19.43,99,40,4.12,PT,1699753712
50,mawlaik,23.6333,94.4167,23.65,70,1,0.81,MM,1699753712
51,east london,-33.0153,27.9116,17.76,69,0,8.01,ZA,1699753712
52,kapuskasing,49.4169,-82.4331,-1.95,100,100,3.09,CA,1699753694
53,la sarre,48.8002,-79.1996,-5.4,95,100,0.78,CA,1699753542
54,taroa,8.7058,171.2275,27.97,80,100,6.72,MH,1699753713
55,lihue,21.9789,-159.3672,28.58,71,75,7.72,US,1699753713
56,ribeira grande,38.5167,-28.7,19.87,94,100,8.49,PT,1699753714
57,tralee,52.2704,-9.7026,8.77,92,100,5.91,IE,1699753714
58,cidreira,-30.1811,-50.2056,21.75,90,97,2.18,BR,1699753715
59,colonia,50.9333,6.95,5.49,90,40,2.06,DE,1699753621
60,mount isa,-20.7333,139.5,34.87,31,1,3.09,AU,1699753716
61,bondo,3.8146,23.6866,20.28,99,97,1.0,CD,1699753716
62,puerto ayora,-0.7393,-90.3518,23.64,95,69,0.89,EC,1699753716
63,santo antonio dos olivais,40.2082,-8.401,18.42,97,100,2.83,PT,1699753716
64,tiksi,71.6872,128.8694,-12.17,89,100,4.56,RU,1699753717
65,avarua,-21.2078,-159.775,22.03,88,75,3.6,CK,1699753717
66,tahe,52.3333,124.7333,-4.0,40,64,4.92,CN,1699753718
67,kavaratti,10.5669,72.642,28.43,75,99,4.77,IN,1699753718
68,kushiro,42.975,144.3747,5.53,42,20,5.66,JP,1699753718
69,san luis de la loma,17.2706,-100.8939,26.65,86,7,1.37,MX,1699753718
70,inirida,3.8653,-67.9239,24.25,93,54,1.17,CO,1699753719
71,malango,-2.9627,119.9001,28.19,57,91,1.54,ID,1699753719
72,ukata,10.8312,5.8249,23.07,31,43,2.34,NG,1699753719
73,colares,38.7992,-9.4469,18.83,93,53,4.92,PT,1699753720
74,longmen,24.9597,118.0889,21.34,71,95,2.41,CN,1699753720
75,college,64.8569,-147.8028,-8.82,84,100,0.0,US,1699753497
76,blackmans bay,-43.0167,147.3167,14.85,59,98,1.34,AU,1699753720
77,san mariano,7.5,126.0,28.49,67,48,1.91,PH,1699753721
78,saint-philippe,-21.3585,55.7679,21.77,83,29,4.81,RE,1699753721
79,kwolla,8.9333,9.2833,25.42,43,47,1.63,NG,1699753721
80,mamuju,-2.6748,118.8885,30.27,66,45,1.49,ID,1699753721
81,achacachi,-16.05,-68.6833,8.72,84,89,0.96,BO,1699753722
82,martapura,-3.4167,114.85,33.63,50,67,1.18,ID,1699753722
83,utrik,11.2278,169.8474,26.39,89,100,10.78,MH,1699753722
84,port mathurin,-19.6833,63.4167,24.92,79,16,2.12,MU,1699753469
85,xiazhen,34.8022,117.1117,6.38,33,0,3.37,CN,1699753723
86,hermanus,-34.4187,19.2345,16.01,68,100,3.06,ZA,1699753506
87,trairi,-3.2778,-39.2689,25.74,77,2,4.17,BR,1699753636
88,whitehorse,60.7161,-135.0538,-0.57,86,75,3.6,CA,1699753488
89,berezovo,63.9381,65.0419,-6.88,98,81,2.31,RU,1699753724
90,puerto baquerizo moreno,-0.9,-89.6,24.02,78,59,4.86,EC,1699753724
91,morogoro,-6.8167,37.6667,21.94,89,89,1.21,TZ,1699753725
92,mejit,10.2753,170.8646,27.07,86,100,8.63,MH,1699753725
93,whangarei,-35.7317,174.3239,21.22,40,9,2.1,NZ,1699753725
94,saint-pierre,-21.3393,55.4781,21.82,88,100,2.57,RE,1699753626
95,acarau,-2.8856,-40.12,25.85,78,0,5.77,BR,1699753625
96,posto fiscal rolim de moura,-13.0833,-62.2667,27.56,62,64,1.53,BR,1699753726
97,souillac,-20.5167,57.5167,23.21,88,75,1.54,MU,1699753726
98,severo-yeniseyskiy,60.3725,93.0408,-6.9,95,100,0.89,RU,1699753727
99,margaret river,-33.95,115.0667,20.74,47,92,4.37,AU,1699753727
100,klyuchi,52.2667,79.1667,4.06,72,100,6.04,RU,1699753727
101,freetown,8.484,-13.2299,24.84,100,75,2.06,SL,1699753728
102,chipinge,-20.1883,32.6236,16.11,58,37,1.39,ZW,1699753728
103,boguchany,58.3814,97.4531,-8.97,81,100,0.89,RU,1699753728
104,salekhard,66.53,66.6019,-7.8,95,100,3.73,RU,1699753728
105,ketchikan,55.3422,-131.6461,5.26,87,100,2.06,US,1699753545
106,praia da vitoria,38.7333,-27.0667,20.14,83,20,8.86,PT,1699753636
107,carolina beach,34.0352,-77.8936,11.19,93,100,6.75,US,1699753730
108,qamdo,31.1667,97.2333,-1.47,49,100,1.77,CN,1699753731
109,flying fish cove,-10.4217,105.6791,27.82,69,40,5.66,CX,1699753731
110,banda aceh,5.5577,95.3222,27.74,77,100,1.7,ID,1699753731
111,orda,57.1951,56.9091,1.72,94,90,2.15,RU,1699753731
112,hirara,24.8,125.2833,23.92,94,75,10.29,JP,1699753732
113,enewetak,11.3474,162.3373,28.29,76,97,6.8,MH,1699753732
114,aasiaat,68.7098,-52.8699,-9.7,74,100,4.33,GL,1699753732
115,tura,25.5198,90.2201,21.67,74,0,1.13,IN,1699753733
116,lasem,-6.6922,111.4527,31.04,59,5,2.94,ID,1699753733
117,magadan,59.5667,150.8,-15.04,73,100,3.24,RU,1699753436
118,kayangel,8.0823,134.7173,28.88,71,100,3.68,PW,1699753733
119,kuanda,56.3161,116.0806,-13.73,90,86,0.59,RU,1699753734
120,narimanov,46.6927,47.8498,3.95,77,100,4.78,RU,1699753734
121,constitucion,-35.3333,-72.4167,9.37,77,29,4.23,CL,1699753734
122,daru,-9.0763,143.2092,27.34,67,51,5.08,PG,1699753735
123,turpan,42.9333,89.1667,7.28,30,0,0.47,CN,1699753735
124,ghat,24.9647,10.1728,19.11,22,0,2.7,LY,1699753735
125,santiago del torno,-17.9833,-63.3833,31.1,33,2,5.67,BO,1699753735
126,port saint john's,-31.6229,29.5448,19.15,79,54,5.37,ZA,1699753736
127,zungeru,9.8128,6.1558,24.94,45,16,1.81,NG,1699753736
128,chonchi,-42.6128,-73.8092,4.56,81,15,2.13,CL,1699753736
129,emerald,-23.5333,148.1667,30.19,40,85,3.8,AU,1699753736
130,antalaha,-14.9003,50.2788,24.17,83,100,3.73,MG,1699753737
131,codrington,-38.2667,141.9667,16.35,50,14,9.19,AU,1699753737
132,sant'antioco,39.0664,8.4522,17.92,88,55,4.88,IT,1699753738
133,mersa matruh,31.3525,27.2453,18.11,88,0,4.12,EG,1699753739
134,dunedin,-45.8742,170.5036,19.48,38,100,3.32,NZ,1699753739
135,sechura,-5.5569,-80.8222,21.1,78,7,7.04,PE,1699753739
136,thurso,58.5927,-3.5259,1.14,81,90,0.39,GB,1699753739
137,nyagan,62.1406,65.3936,0.28,88,100,1.64,RU,1699753740
138,huangmei,30.1924,116.025,9.58,80,100,3.5,CN,1699753740
139,fort bragg,35.139,-79.006,11.36,79,100,0.45,US,1699753659
